,count
ka,91611
un,90389
,65669
nai,46536
du,45142
es,44537
au,37761
na,31528
sama,25793
per,24575
men,23361
fu,23122
afto,22277
fshto,22125
hanu,20716
os,19682
lik,18275
deki,16700
je,15861
kotoba,14777
mange,14542
danke,14067
har,13317
ak,13282
bra,12891
ringo,12774
a,11369
vil,11298
imi,10840
akk,10442
nan,10280
naj,10190
sore,9954
li,9058
nam,8876
dua,8768
de,8656
ein,7909
al,7896
awen,7824
viossa,7330
ting,7269
ine,7009
tuo,6862
bruk,6855
kot,6759
lera,6702
dan,6644
jaa,6450
shiru,6250
jam,6128
ima,6057
ah,5857
se,5830
vi,5559
gomen,5440
fsto,5266
mietta,5130
mit,4968
ke,4951
ni,4944
suru,4599
plus,4554
mono,4526
kundr,4520
hur,4423
ko,4369
kundur,4347
to,4234
braa,4214
inne,4183
ti,4129
koske,4123
grun,4103
maha,3966
liik,3891
kaku,3815
akku,3756
apar,3692
likk,3630
da,3405
o,3366
mus,3338
made,3232
tak,3217
nil,3188
chigau,3123
kara,3115
pravda,3057
hel,3025
tropos,2950
siru,2913
suruko,2890
kola,2881
e,2823
glaubi,2814
sit,2804
ne,2794
namae,2792
est,2768
naze,2763
mitt,2737
pashun,2732
bli,2717
hmm,2709
riso,2703
akrat,2681
fal,2679
igne,2599
oba,2506
fshtonai,2502
her,2497
oh,2493
tabun,2439
auen,2435
glossa,2380
ahh,2376
pash,2304
ktoba,2294
plas,2253
mie,2174
tid,2169
ca,2167
inje,2161
koto,2116
ander,2098
aven,2069
yam,2036
mmm,2029
aa,2029
pas,2028
akkurat,2024
lyk,1995
ende,1994
b,1963
dok,1953
simper,1940
mm,1881
auauau,1865
sor,1865
ja,1846
dag,1834
opeta,1833
fras,1815
huomi,1795
x,1785
warui,1764
anglossa,1758
vona,1757
danki,1716
vasu,1713
namting,1706
auau,1678
tre,1678
auto,1663
neo,1654
u,1615
glau,1610
aaa,1570
shirunai,1564
tel,1561
fun,1548
ttb,1522
za,1521
hei,1511
mah,1505
ahhh,1495
apaar,1456
ie,1433
mieta,1430
djin,1430
uso,1405
zam,1389
anta,1385
we,1379
doko,1372
jalaka,1358
mirai,1358
kokoro,1357
unn,1351
namai,1344
viosa,1340
lasku,1329
ain,1324
inye,1309
trist,1301
spor,1298
dekinai,1297
haaste,1288
imma,1283
nae,1280
treng,1275
lapsi,1274
me,1266
perun,1266
ergo,1242
bitte,1238
xar,1235
gelt,1216
hant,1208
joku,1206
den,1203
kunder,1199
dare,1187
spil,1179
tatoeba,1173
cigau,1171
pr,1162
tingko,1159
skei,1148
shkoi,1147
midori,1134
en,1130
i,1120
andr,1107
mellan,1104
prosta,1099
mik,1095
sitt,1081
svar,1077
mena,1065
aw,1059
dank,1054
tsigau,1049
nay,1047
mjetta,1046
gvir,1041
stuur,1041
acc,1040
haste,1039
gust,1036
trelo,1025
hmmm,1024
blin,1018
stur,1018
einn,1009
hav,1002
tsui,998
hm,998
hej,988
mane,983
simpel,982
f,977
huin,970
persunn,954
tiid,944
yn,931
glug,925
baksu,915
mora,915
vent,912
akote,911
gavat,905
go,901
asoko,894
vjossa,892
raz,884
grunn,879
velt,873
ok,868
skoi,861
kakutropos,860
akak,858
fisto,858
skola,857
y,855
vikti,854
vomi,850
ekso,847
in,845
aaaa,843
kjomi,843
ohh,840
dekti,838
mama,836
pitka,833
pasun,830
sn,826
tsatain,823
shinu,822
lant,809
med,809
k,807
onna,806
ros,806
likko,796
n,796
fraut,793
brukena,790
huske,777
takk,766
kirain,765
mies,760
ye,756
osos,751
no,747
ack,745
ohare,738
pan,734
fliere,729
c,728
hanasu,725
te,722
aparlik,722
mi,720
hjerne,718
haisa,710
der,708
madjik,704
lic,703
ishke,702
vapa,698
uwaki,693
chisai,691
h,688
owari,687
sada,681
iskat,680
libre,678
ahhhh,678
sol,677
pashuun,669
baum,666
uten,665
slucha,663
albra,660
ajn,660
mmmm,660
ohhh,655
apu,654
smak,649
m,632
bistra,628
ri,625
shirunaj,622
sedan,621
ejn,621
ya,618
prav,617
eins,616
xd,615
okej,615
namaj,614
miraj,611
baka,610
dankje,606
han,604
guau,603
yaa,597
kirkas,597
so,593
gluk,590
sinu,589
nintendo,587
luna,587
laki,582
helena,581
tumam,576
ker,574
niles,574
ao,572
naht,569
dekiti,568
migi,568
nis,567
tasta,567
una,567
manje,566
altid,564
cotoba,564
snano,563
he,563
jest,563
andra,559
dyr,557
fszto,546
ai,546
skej,546
ooo,545
oke,542
uwu,541
on,539
neodjin,538
hobit,536
lykke,535
vauva,533
banan,531
fugel,529
spore,528
vras,526
bryk,526
mahklar,526
oo,520
haha,517
gruun,516
minus,514
dankedai,514
sakana,510
varui,509
gammel,508
viha,505
sirunai,503
livre,502
unna,499
torta,498
zol,498
mahaklar,494
blau,493
ay,492
tulla,490
nana,489
samui,486
antaa,486
asa,485
mje,483
nilje,483
sam,482
zo,482
toshi,481
waruj,481
uhh,480
riogho,480
lese,479
neolera,479
kaupa,475
hanudan,474
ale,473
hono,471
nei,468
kawari,464
maxa,464
aaaaa,464
sziru,462
hor,462
fshtonaj,456
menn,455
plusbra,455
kami,454
akurat,453
aldjin,453
glosa,452
kopula,452
papa,450
sebja,450
baba,447
s,447
kuro,445
aku,444
konder,442
nasi,440
fishto,439
zan,438
imadag,437
iam,436
klar,435
fik,434
kondor,432
hjaku,431
davai,429
yalaka,428
fan,428
prapa,427
kano,426
konfus,425
namena,423
atama,423
uh,421
rosh,421
fhsto,419
tula,416
iske,414
tin,414
kyu,411
tosi,411
krais,408
dy,406
hadji,404
suha,402
kjere,401
aftoo,400
fstonai,400
inhe,399
fshtoo,397
d,396
kuchi,394
anda,392
fsjto,392
ring,391
opetadjin,390
dekinaj,390
mjeta,389
tte,381
plu,381
uslova,381
hana,378
aen,376
pol,374
para,372
kawai,371
v,370
ia,370
sini,369
tab,368
eksi,366
stift,365
kompju,364
pitsa,363
jamm,362
varge,361
shkola,360
all,360
sejena,357
netopa,355
sper,355
pasz,352
vildan,352
ahhhhh,352
jaaa,352
stol,352
nej,351
fecto,351
gha,349
toki,349
okei,349
oi,348
festa,347
brabra,343
uhhh,343
liid,342
amerikalant,341
is,339
xiru,338
wn,337
kirajn,336
perpa,336
kyomi,335
spoor,334
sen,332
aft,331
rjoho,331
skekso,331
jok,330
vasudan,329
sa,329
pasj,329
lehti,329
varje,329
vill,329
sidt,329
kotoli,329
jokuting,329
mjude,328
mye,326
kasi,326
leradjin,325
phsto,325
ona,325
bet,322
denn,321
ohhhh,321
diskord,320
spuor,320
viossadjin,319
ik,318
ns,318
oki,318
dur,316
shiro,316
rupne,315
otona,315
daag,315
xanu,314
murasaki,313
fy,312
koni,311
ameriklant,310
hmmmm,310
kakutro,310
ruti,310
ma,309
fscto,308
frshto,308
kiomi,308
jamete,308
mir,307
miettadan,307
oooo,307
niltid,306
hierne,305
kun,304
kvel,303
plui,303
klea,303
hyaku,302
frsto,300
korva,299
opeh,299
nipan,299
cot,298
hanuti,298
leste,296
arka,295
strela,294
hany,294
gjen,294
nje,293
kundar,292
nilest,292
aper,291
konfuz,291
pere,291
dzin,291
spøre,291
muai,290
saada,289
zeriso,287
portokali,287
isu,286
sentaku,286
nu,285
zeus,285
tolka,284
paszun,284
sige,283
jokudjin,281
fstun,279
r,278
fdu,278
leradan,276
kjannos,276
aaaaaa,275
perschun,275
melan,274
mahena,274
ny,273
soree,273
brukti,273
wa,272
alting,270
jaja,270
manga,269
andre,268
par,268
denwa,268
dah,268
tuhat,268
govor,267
paksu,267
eh,267
yan,265
um,264
jeste,264
skoj,262
hiras,262
aja,261
katai,261
naun,261
ar,260
mjes,259
miettan,259
cisai,259
kekso,259
tatsu,259
fcto,258
miepie,258
neu,257
akratti,257
kondr,257
svinnur,255
j,254
lid,254
naifshto,253
liber,253
køndør,253
kaban,252
sirun,252
kari,251
feri,251
flakka,251
istsi,250
jo,250
t,250
hanutropos,250
slutsa,250
bite,249
duur,249
fami,249
ishi,249
pacun,249
kotnen,249
yoku,248
fstoo,248
roo,248
faan,246
strani,246
vimi,245
akka,243
iaa,243
diskordserver,242
lick,242
iskje,242
apartid,242
ljeva,242
ahman,241
tis,241
luft,240
manghe,240
vikoli,239
kuofi,237
mangy,237
shtift,236
kafe,236
lol,236
hein,235
naruga,235
hengest,235
rum,235
spør,234
ajnn,234
tac,234
ten,234
tshigau,233
paneku,233
nama,233
tembo,232
aparlikk,232
spara,231
duwa,231
mare,231
sirrunai,231
laksu,230
polis,230
achu,229
nihonossa,229
ike,229
risonen,229
kjhonder,228
naku,227
ciru,227
nilting,226
atai,226
altiid,226
tinko,226
namm,225
jin,224
spyr,223
tsisai,222
akkiu,222
harnai,222
ruu,221
simpr,220
w,220
namdan,219
andere,219
long,219
szkoi,219
krig,219
pershun,218
kere,218
lih,218
atto,217
uk,217
hanun,216
gaia,215
gi,215
inono,215
kawaii,215
ce,214
mhm,214
tchigau,214
miette,214
midt,214
myetta,214
fstonaj,214
leisa,214
sre,214
ryoho,214
tyd,214
shkekso,214
davi,213
sot,213
z,212
myude,212
g,212
lagom,212
ruru,212
wil,211
dece,211
hehe,211
an,211
paperi,210
catain,210
mmmmm,210
tro,210
hina,209
tato,209
bagge,209
hadzi,209
kas,208
fxto,208
tyng,208
klaani,207
tsa,207
dai,207
like,207
bruuk,206
pik,206
hapigo,206
lykk,206
hund,206
djong,206
saa,206
nilis,205
shto,205
bett,205
ayn,204
ha,204
berk,204
aha,203
the,203
bjurki,203
tol,203
dek,201
mahaklaar,201
heel,201
pravada,201
oishi,201
englossa,201
kelt,200
pulap,200
mikava,200
xnopyt,199
tu,198
hahaha,198
deza,198
hammas,197
tres,197
benga,197
djikan,195
mna,195
impla,194
vilun,194
kak,194
avara,194
tsunaga,194
bramoratsa,194
mn,194
kjanos,193
klani,193
muzik,193
sluca,193
katana,191
oj,191
cola,191
flire,191
dw,191
rioho,191
mahadan,190
anglant,190
rjo,189
fo,188
ist,187
iik,187
prosto,187
mza,186
miau,186
hyerne,186
siniplas,186
er,185
fura,185
dvera,185
tri,185
shirudan,184
bruhk,184
ljeta,184
festo,184
ovari,183
brakolatsa,182
ean,182
auki,182
angelosa,182
ter,182
kiva,181
sto,181
phu,180
opetadzin,180
kumo,180
hannti,179
sintua,179
suruk,178
va,178
dantid,178
lix,177
l,177
set,176
film,176
mude,176
salp,176
ossa,176
bamba,175
gnarp,175
vjosa,175
ez,175
bradai,175
ugoki,174
kiro,174
chad,174
kau,174
owo,174
tera,174
ilta,174
gen,173
aldok,173
gamel,173
ac,173
mado,172
huur,172
dana,172
perunn,172
vilti,172
ue,172
hata,171
cui,171
samaa,171
nainai,171
jan,171
apaarlik,170
cisaj,170
peryn,169
gaija,169
meow,169
nj,169
man,169
bidra,168
mage,168
jaaaa,167
cundyr,167
server,167
kiere,167
komsa,167
mwai,166
lule,166
aah,166
pipo,166
ei,166
jubi,165
huh,165
spoer,165
laulu,165
mangetid,165
jing,165
tyo,164
sho,164
festako,163
kalap,163
kønder,163
lich,163
vals,163
mys,163
akkakk,162
kafan,162
tsuj,162
ahhhhhh,162
dandag,162
p,161
tsatajn,160
seyena,160
dje,160
akkk,159
kuneli,159
kawarikun,159
kf,159
ohhhhh,159
obamange,159
fshton,159
tun,159
cuj,159
ooooo,158
sirru,158
duaun,158
nun,158
inglossa,158
acrat,157
viko,157
deci,157
vilnai,157
samalik,156
of,156
aj,156
isi,156
dir,156
liche,155
finna,155
tori,155
dankie,154
pal,154
rofai,154
lestebra,154
nju,154
sjiru,152
jamnai,152
ooh,152
tako,152
auauauau,151
akkrat,151
brukdan,151
gaja,151
ze,151
inge,150
nen,150
cundr,150
ena,150
dankee,150
mangebra,149
cara,149
een,149
kto,148
neoko,148
syry,148
mangedjin,148
chiisai,148
portukali,148
danka,148
taika,148
onar,148
naifsto,148
wun,148
kat,148
vilena,147
porva,147
leradzin,147
sangju,147
phall,147
siit,146
kyere,146
myes,146
hwomi,146
hanujena,146
glass,146
kotoa,145
brukun,145
hell,145
magne,145
oooh,145
imawen,145
ufne,144
vint,144
pre,144
dzong,144
brøk,144
danks,143
kavari,143
lesa,143
inj,143
fynna,143
pie,143
faria,142
boze,142
myeta,142
hanuun,142
ringgo,141
from,141
ananas,141
sugha,141
la,141
oisi,141
prafda,140
suwaru,140
andrdjin,140
afe,140
plusbraa,139
aldzin,139
beng,139
apaarliik,139
humba,138
confus,138
spyre,138
bean,138
ou,138
pone,138
ynn,138
tjigau,138
manjhe,137
ialaka,137
glugting,136
stuor,136
aun,136
dankeh,136
fushto,136
manye,136
mjah,136
user,136
aaaaaaa,136
asmi,135
anse,135
zettai,134
inie,134
hengi,134
nill,134
shkoj,134
fshtodan,133
hau,133
xel,133
mun,133
silba,133
atsor,133
letste,133
gaya,133
mjetun,133
ga,132
pasyuun,132
anderdjin,132
nui,132
vjeri,132
nihonlant,132
furi,131
ry,131
anu,131
bramora,131
albraa,131
bides,131
terbi,130
duajena,129
spada,129
ø,129
do,129
aaah,129
ipa,129
gammeldjin,129
miude,129
pershunn,128
pluj,128
kaka,128
rø,128
vupsi,128
niltiid,127
naxt,127
znaci,127
kao,127
kako,127
kuo,127
kompyu,127
po,127
gryn,126
zvezda,126
mjet,126
miettaun,126
et,126
musti,126
fzjto,126
harun,125
brur,125
hanena,125
troposko,125
fstho,125
jena,125
fsuto,125
anderdzin,124
dvaima,124
sebjazam,124
tshigay,124
glawbi,123
fto,123
krajs,123
fjsto,123
immi,123
nile,123
dangki,123
ping,123
kataj,122
akej,122
braaa,122
ehh,122
vildu,121
wo,121
mang,121
uhhhh,121
sebya,121
trengena,121
see,121
fina,120
tokiponossa,120
jerkat,120
tren,120
sodji,120
medko,120
noi,120
miettun,120
høin,119
brhuk,119
shkei,119
aky,119
duadai,119
kana,119
wasu,119
surukotoba,119
klaar,119
mitko,119
or,119
fudu,118
piman,118
dodo,118
plubra,118
denva,118
kanadalant,118
fliire,117
nilie,117
harnaj,117
ldv,117
hann,116
ae,116
lietta,116
pyr,116
bruc,116
liikko,115
nase,115
kaa,115
upas,115
cundur,115
kavai,115
hosoi,115
hoko,115
nyn,115
hmmmmm,115
nacht,115
bratula,115
tip,115
anglosa,114
moloda,114
achor,114
aya,114
likke,114
kakudan,113
hanudu,113
juriste,113
ruk,113
niden,113
yo,113
naz,113
sitte,113
rjogho,113
glas,113
jes,112
max,112
viossako,112
mjau,112
perkele,112
lejsa,112
vilant,111
davaj,111
noito,111
kiannos,111
dya,111
kundir,111
hefli,110
rusiosa,110
znakoma,110
zeposta,110
rufne,110
sja,109
koskie,109
kyannos,109
kutsi,109
nn,109
taksan,109
afta,109
talvi,109
dankj,109
mien,109
chisaj,109
manhe,108
akakak,108
ro,108
akkudakku,108
xarsor,108
guir,108
tack,108
alfakrun,107
bratsa,107
uwakinen,107
kotaba,107
gris,107
kuci,107
lfsv,106
sta,106
abad,106
namay,106
stof,106
varye,106
jen,106
varuj,106
ososos,106
amushpe,106
ytten,106
numra,106
dankeee,106
posta,105
djeza,105
ina,105
akraat,105
si,105
fraz,105
mangetiid,105
sodzi,105
mis,105
boksu,105
kesa,104
zamko,104
surudan,104
rju,104
ehhh,104
samanai,104
cer,104
iken,104
vyl,104
kott,104
homi,104
ying,104
tsuite,104
be,104
svinur,104
eam,103
acu,103
yokuting,103
ahoj,103
glaobi,103
jamti,103
waso,103
dyyr,103
gwir,103
zespil,103
taina,103
fraas,102
hyr,102
doco,102
nagvir,102
plusmange,102
virta,102
perpena,102
av,102
im,102
nylz,102
koniciwa,102
namtin,101
fston,101
gom,101
rat,101
duanai,101
san,101
it,101
ymy,101
aaaah,101
kini,101
ly,101
ob,101
lek,101
